main_tech,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
"GH ""Candy""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH Cones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giant Vanilla Sandwich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KL Mini Cones,1.150848,71.4996,27.06624,454.14604800000006,295.0483104,112.52736000000002,173.97503999999998,0.0,0.0,65.28121344,0.0,0.0
MBG,764.77288,240.294464,793.363376,1599.2831999999999,1569.988608,1259.3504,1155.32312,1105.09168,885.86064,919.82352,0.0,0.0
MG Sticks,1424.178156,464.829584,1432.0750600000001,1926.706944,2169.343488,1855.4032000000002,1904.2256000000002,1870.2004,1585.4797,512.0,0.0,0.0
Other,763.3250859999999,167.59089600000001,726.2986060000001,1126.852944,1185.116540544,1375.867961856,828.12377088,695.63315712,481.10241792,339.4751808,235.45004544,182.28539519999998
PG,1288.232196,462.161568,2969.13732,2907.4058496,3127.94486784,1273.3044479999999,920.42496,1358.9417088,945.4079231999999,1186.690752,3675.3276672,456.4896768
PTS,85.787064,0.0,261.55825344,0.0,251.74195199999997,165.32442726256483,183.69380806951648,202.06318887646813,174.50911766604065,340.55999999999995,165.32442726256483,425.69999999999993
PTS Exports,250.3901792,33.390015999999996,333.170504,160.892928,234.079801344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quarts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Repack Items,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Repack MG Sticks,50.725440000000006,64.68984,80.77508999999999,57.024,76.032,95.03999999999999,38.016,31.104000000000003,0.0,0.0,31.104000000000003,0.0
SP1,0.0,300.603888,706.895632,1074.45888,1163.992896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sundaes,114.83225599999999,279.213592,157.04035199999998,378.76608,511.334208,324.5784271768579,360.6426968631754,396.70696654949296,342.61056202001663,307.44,324.5784271768579,307.44
TALENTI,1035.325104,869.0485759999999,986.1642841599999,1460.32128,1191.869184,2651.8562611199995,2651.8562611199995,2935.983717668571,2161.4208,2470.1951999999997,1543.8719999999998,1515.3464349257142
Talenti,1894.2049599999998,839.5615839999999,3150.03888,3847.8950399999994,3426.103296,1065.28628736,1065.28628736,1179.424103862857,835.4304,1065.28628736,596.736,989.1944096914284
Topped,439.074,586.2024,763.146,695.6928,433.38239999999996,521.8595577760765,579.8439530845294,637.8283483929824,550.8517554303029,518.4,521.8595577760765,696.6
YS PTS,694.4634719999999,884.3603039999999,605.056032,749.1744,416.51712,257.54112,515.08224,257.54112,416.51712,257.54112,435.59423999999996,168.51456
Yasso Club,254.97943499999997,594.62652,557.780655,170.86463999999998,280.79200799999995,341.72927999999996,170.86463999999998,683.4585599999999,512.59392,512.59392,534.6201599999999,512.59392
Yasso Cups,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yasso Poppables,0.19998000000000002,41.97358,0.0,6.981120000000001,0.0,42.6624,21.3312,17.06496,21.3312,12.79872,8.53248,0.0
